Representative,Party,State Full,state,Vote,district,statedistrict,pvi,year,Full Name,last_name,party
Mackenzie,Republican,Pennsylvania,PA,Yea,8,PA-8,4.0,2024.0,Ryan Mackenzie,Mackenzie,Republican
Malliotakis,Republican,New York,NY,Yea,12,NY-12,-34.0,2024.0,Nicole Malliotakis,Malliotakis,Republican
Maloy,Republican,Utah,UT,Yea,2,UT-2,11.0,2024.0,Celeste Maloy,Maloy,Republican
Mann,Republican,Kansas,KS,Yea,1,KS-1,18.0,2024.0,Tracey Mann,Mann,Republican
Mannion,Democratic,New York,NY,Yea,23,NY-23,12.0,2024.0,John W. Mannion,Mannion,Democrat
Massie,Republican,Kentucky,KY,Yea,4,KY-4,19.0,2024.0,Thomas Massie,Massie,Republican
Mast,Republican,Florida,FL,Yea,21,FL-21,7.0,2024.0,Brian J. Mast,Mast,Republican
Matsui,Democratic,California,CA,Nay,7,CA-7,-17.0,2024.0,Doris O. Matsui,Matsui,Democrat
McBath,Democratic,Georgia,GA,Yea,6,GA-6,11.0,2024.0,Lucy McBath,McBath,Democrat
McBride,Democratic,Delaware,DE,Nay,AL,DE-AL,-7.0,2024.0,Sarah McBride,McBride,Democrat
McCaul,Republican,Texas,TX,Yea,10,TX-10,13.0,2024.0,Michael T. McCaul,McCaul,Republican
McClain,Republican,Michigan,MI,Yea,9,MI-9,18.0,2024.0,Lisa C. McClain,McClain,Republican
McClain Delaney,Democratic,Maryland,MD,Yea,6,MD-6,-2.0,2024.0,April McClain Delaney,McClain Delaney,Democrat
McClellan,Democratic,Virginia,VA,Nay,4,VA-4,-16.0,2024.0,Jennifer L. McClellan,McClellan,Democrat
McClintock,Republican,California,CA,Yea,5,CA-5,9.0,2024.0,Tom McClintock,McClintock,Republican
McCollum,Democratic,Minnesota,MN,Nay,4,MN-4,-17.0,2024.0,Betty McCollum,McCollum,Democrat
McCormick,Republican,Georgia,GA,Yea,7,GA-7,-10.0,2024.0,Richard McCormick,McCormick,Republican
McDonald Rivet,Democratic,Michigan,MI,Yea,8,MI-8,1.0,2024.0,Kristen McDonald Rivet,McDonald Rivet,Democrat
McDowell,Republican,North Carolina,NC,Yea,7,NC-7,8.0,2024.0,Addison P. McDowell,McDowell,Republican
McGarvey,Democratic,Kentucky,KY,Nay,3,KY-3,-9.0,2024.0,Morgan McGarvey,McGarvey,Democrat
McGovern,Democratic,Massachusetts,MA,Nay,2,MA-2,-13.0,2024.0,James P. McGovern,McGovern,Democrat
McGuire,Republican,Virginia,VA,Yea,5,VA-5,7.0,2024.0,John J. McGuire III,McGuire,Republican
McIver,Democratic,New Jersey,NJ,Nay,11,NJ-11,-6.0,2024.0,LaMonica McIver,McIver,Democrat
Meeks,Democratic,New York,NY,Nay,6,NY-6,-15.0,2024.0,Gregory W. Meeks,Meeks,Democrat
Menendez,Democratic,New Jersey,NJ,Nay,9,NJ-9,-8.0,2024.0,Robert Menendez,Menendez,Democrat
Meng,Democratic,New York,NY,Nay,7,NY-7,-31.0,2024.0,Grace Meng,Meng,Democrat
Messmer,Republican,Indiana,IN,Yea,8,IN-8,19.0,2024.0,Mark B. Messmer,Messmer,Republican
